id	rate
1001	0.11
1003	0.077
1005	0.093
1007	0.076
1009	0.105
1011	0.234
1013	0.165
1015	0.167
1017	0.094
1019	0.074
1021	0.065
1023	0.077
1025	0.075
1027	0.069
1029	0.101
1031	0.088
1033	0.071
1035	0.128
1037	0.13
1039	0.068
1041	0.064
1043	0.123
1045	0.049
1047	0.126
1049	0.056
1051	0.14
1053	0.06
1055	0.065
1057	0.132
1059	0.125
1061	0.065
1063	0.065
1065	0.084
1067	0.125
1069	0.063
1071	0.096
1073	0.053
1075	0.132
1077	0.067
1079	0.05
1081	0.132
1083	0.077
1085	0.027
1087	0.1
1089	0.122
1091	0.091
1093	0.093
1095	0.112
1097	0.129
1099	0.091
1101	0.085
1103	0.095
1105	0.072
1107	0.073
1109	0.132
1111	0.095
1113	0.079
1115	0.097
1117	0.071
1119	0.032
1121	0.096
1123	0.086
1125	0.06
1127	0.074
1129	0.134
1131	0.113
1133	0.178
2013	0.05
2016	0.071
2020	0.062
2050	0.09
2060	0.073
2068	0.124
2070	0.116
2090	0.056
2100	0.092
2110	0.051
2122	0.065
2130	0.093
2150	0.098
2164	0.107
2170	0.119
2180	0.097
2185	0.075
2188	0.056
2201	0.084
2220	0.12
2232	0.123
2240	0.097
2261	0.081
2270	0.091
2280	0.129
2282	0.119
2290	0.16
4001	0.078
4003	0.167
4005	0.082
4007	0.06
4009	0.042
4011	0.104
4012	0.085
4013	0.138
4015	0.059
4017	0.063
4019	0.059
4021	0.084
4023	0.034
4025	0.034
4027	0.085
5001	0.081
5003	0.066
5005	0.107
5007	0.078
5009	0.079
5011	0.092
5013	0.044
5015	0.13
5017	0.091
5019	0.088
5021	0.158
5023	0.139
5025	0.08
5027	0.075
5029	0.044
5031	0.093
5033	0.07
5035	0.071
5037	0.133
5039	0.048
5041	0.18
5043	0.08
5045	0.095
5047	0.083
5049	0.181
5051	0.1
5053	0.082
5055	0.086
5057	0.029
5059	0.102
5061	0.059
5063	0.054
5065	0.086
5067	0.138
5069	0.095
5071	0.109
5073	0.164
5075	0.093
5077	0.104
5079	0.118
5081	0.105
5083	0.068
5085	0.069
5087	0.094
5089	0.103
5091	0.185
5093	0.087
5095	0.113
5097	0.097
5099	0.06
5101	0.126
5103	0.124
5105	0.062
5107	0.098
5109	0.08
5111	0.079
5113	0.108
5115	0.088
5117	0.095
5119	0.094
5121	0.09
5123	0.092
5125	0.068
5127	0.093
5129	0.125
5131	0.108
5133	0.087
5135	0.052
5137	0.025
5139	0.028
5141	0.136
5143	0.071
5145	0.176
5147	0.122
5149	0.065
6001	0.128
6003	0.085
6005	0.049
6007	0.068
6009	0.076
6011	0.094
6013	0.035
6015	0.14
6017	0.098
6019	0.098
6021	0.074
6023	0.094
6025	0.051
6027	0.093
6029	0.151
6031	0.155
6033	0.087
6035	0.028
6037	0.094
6039	0.104
6041	0.063
6043	0.072
6045	0.082
6047	0.062
6049	0.081
6051	0.051
6053	0.05
6055	0.106
6057	0.077
6059	0.033
6061	0.086
6063	0.066
6065	0.086
6067	0.078
6069	0.107
6071	0.054
6073	0.108
6075	0.065
6077	0.058
6079	0.105
6081	0.088
6083	0.133
6085	0.066
6087	0.111
6089	0.128
6091	0.098
6093	0.071
6095	0.089
6097	0.137
6099	0.033
6101	0.167
6103	0.053
6105	0.102
6107	0.146
6109	0.079
6111	0.085
6113	0.072
6115	0.105
8001	0.096
8003	0.142
8005	0.032
8007	0.086
8009	0.084
8011	0.062
8013	0.082
8014	0.047
8015	0.074
8017	0.119
8019	0.04
8021	0.083
8023	0.091
8025	0.08
8027	0.036
8029	0.094
8031	0.163
8033	0.088
8035	0.039
8037	0.045
8039	0.031
8041	0.121
8043	0.036
8045	0.051
8047	0.14
8049	0.111
8051	0.055
8053	0.066
8055	0.109
8057	0.159
8059	0.088
8061	0.101
8063	0.054
8065	0.059
8067	0.044
8069	0.075
8071	0.084
8073	0.111
8075	0.084
8077	0.058
8079	0.079
8081	0.079
8083	0.083
8085	0.117
8087	0.133
8089	0.089
8091	0.084
8093	0.065
8095	0.084
8097	0.077
8099	0.034
8101	0.084
8103	0.259
8105	0.065
8107	0.086
8109	0.043
8111	0.056
8113	0.133
8115	0.082
8117	0.071
8119	0.066
8121	0.137
8123	0.105
8125	0.121
9001	0.1
9003	0.168
9005	0.134
9007	0.122
9009	0.129
9011	0.119
9013	0.056
9015	0.042
10001	0.131
10003	0.087
10005	0.06
11001	0.139
12001	0.178
12003	0.049
12005	0.114
12007	0.082
12009	0.069
12011	0.045
12013	0.086
12015	0.123
12017	0.032
12019	0.105
12021	0.102
12023	0.095
12027	0.127
12029	0.077
12031	0.089
12033	0.068
12035	0.091
12037	0.058
12039	0.119
12041	0.058
12043	0.056
12045	0.075
12047	0.118
12049	0.163
12051	0.089
12053	0.075
12055	0.083
12057	0.094
12059	0.06
12061	0.061
12063	0.161
12065	0.048
12067	0.078
12069	0.084
12071	0.119
12073	0.045
12075	0.073
12077	0.043
12079	0.06
12081	0.087
12083	0.027
12085	0.151
12086	0.02
12087	0.031
12089	0.091
12091	0.078
12093	0.082
12095	0.096
12097	0.123
12099	0.109
12101	0.098
12103	0.074
12105	0.078
12107	0.044
12109	0.127
12111	0.06
12113	0.066
12115	0.045
12117	0.051
12119	0.183
12121	0.064
12123	0.139
12125	0.091
12127	0.115
12129	0.089
12131	0.041
12133	0.179
13001	0.089
13003	0.063
13005	0.101
13007	0.068
13009	0.094
13011	0.117
13013	0.092
13015	0.116
13017	0.091
13019	0.071
13021	0.078
13023	0.142
13025	0.036
13027	0.101
13029	0.048
13031	0.102
13033	0.048
13035	0.05
13037	0.062
13039	0.07
13043	0.079
13045	0.086
13047	0.105
13049	0.063
13051	0.083
13053	0.19
13055	0.065
13057	0.078
13059	0.065
13061	0.119
13063	0.072
13065	0.07
13067	0.059
13069	0.072
13071	0.042
13073	0.093
13075	0.076
13077	0.116
13079	0.076
13081	0.087
13083	0.051
13085	0.107
13087	0.114
13089	0.097
13091	0.094
13093	0.125
13095	0.091
13097	0.061
13099	0.063
13101	0.092
13103	0.104
13105	0.126
13107	0.147
13109	0.065
13111	0.119
13113	0.067
13115	0.07
13117	0.114
13119	0.131
13121	0.051
13123	0.088
13125	0.059
13127	0.119
13129	0.09
13131	0.085
13133	0.062
13135	0.087
13137	0.09
13139	0.081
13141	0.091
13143	0.027
13145	0.153
13147	0.125
13149	0.091
13151	0.21
13153	0.102
13155	0.118
13157	0.101
13159	0.107
13161	0.077
13163	0.107
13165	0.098
13167	0.104
13169	0.152
13171	0.034
13173	0.096
13175	0.092
13177	0.08
13179	0.087
13181	0.14
13183	0.113
13185	0.066
13187	0.051
13189	0.122
13191	0.073
13193	0.038
13195	0.052
13197	0.076
13199	0.084
13201	0.08
13205	0.097
13207	0.159
13209	0.063
13211	0.111
13213	0.091
13215	0.112
13217	0.118
13219	0.102
13221	0.066
13223	0.068
13225	0.175
13227	0.135
13229	0.13
13231	0.066
13233	0.118
13235	0.129
13237	0.103
13239	0.062
13241	0.071
13243	0.112
13245	0.115
13247	0.095
13249	0.061
13251	0.06
13253	0.067
13255	0.111
13257	0.115
13259	0.038
13261	0.093
13263	0.033
13265	0.056
13267	0.06
13269	0.094
13271	0.098
13273	0.072
13275	0.079
13277	0.077
13279	0.172
13281	0.056
13283	0.068
13285	0.066
13287	0.055
13289	0.084
13291	0.074
13293	0.045
13295	0.059
13297	0.053
13299	0.084
13301	0.064
